,date,open,high,low,close,volume
456,2021-09-29,2805.64,2950.6,2781.99,2850.14,15763456158
457,2021-09-30,2849.71,3048.58,2836.21,3000.46,17661065099
458,2021-10-01,3001.14,3337.15,2967.41,3311.16,22307625573
459,2021-10-02,3311.2,3469.95,3258.94,3387.82,19202671704
460,2021-10-03,3388.67,3489.18,3343.36,3420.07,15516566862
461,2021-10-04,3419.63,3438.91,3269.67,3387.2,17747154101
462,2021-10-05,3386.9,3547.88,3365.34,3515.3,16632591670
463,2021-10-06,3517.26,3632.44,3342.16,3575.85,21855226591
464,2021-10-07,3576.45,3655.02,3471.52,3588.51,19090322927
465,2021-10-08,3588.83,3670.0,3535.0,3563.96,16222029488
466,2021-10-09,3563.96,3634.13,3538.61,3575.83,12707036942
467,2021-10-10,3575.2,3605.49,3406.44,3415.0,16171746693
468,2021-10-11,3414.75,3625.0,3373.45,3542.37,18579189588
469,2021-10-12,3542.2,3549.0,3403.51,3490.61,18109578443
470,2021-10-13,3490.17,3614.48,3412.45,3608.21,16211275589
471,2021-10-14,3608.43,3828.84,3588.55,3791.66,19443499909
472,2021-10-15,3791.06,3900.0,3734.44,3869.73,20966841512
473,2021-10-16,3869.73,3968.49,3802.0,3829.66,16578095629
474,2021-10-17,3829.7,3919.0,3643.0,3847.18,15908090346
475,2021-10-18,3847.38,3894.7,3676.35,3745.48,17386204158
476,2021-10-19,3745.13,3890.36,3700.0,3878.17,15998757133
477,2021-10-20,3878.35,4169.0,3829.59,4161.94,20338319988
478,2021-10-21,4161.83,4374.95,4010.22,4053.9,28220661820
479,2021-10-22,4053.97,4169.72,3885.25,3971.55,19432937968
480,2021-10-23,3971.89,4172.04,3935.92,4168.56,14781537792
481,2021-10-24,4168.53,4188.42,3962.05,4082.64,14978083638
482,2021-10-25,4082.09,4236.27,4069.22,4220.93,15995727040
483,2021-10-26,4221.16,4297.0,4091.31,4131.47,17157714562
484,2021-10-27,4132.19,4314.63,3911.0,3923.94,26219530404
485,2021-10-28,3925.26,4299.0,3889.05,4288.26,25958154575
486,2021-10-29,4288.25,4461.96,4266.91,4421.23,22967641914
487,2021-10-30,4421.23,4435.0,4236.99,4324.67,14615490626
488,2021-10-31,4325.55,4395.99,4168.1,4290.16,17498160238
489,2021-11-01,4290.31,4385.16,4151.0,4322.89,17985288261
490,2021-11-02,4322.89,4604.99,4287.32,4595.01,20794448222
491,2021-11-03,4594.27,4671.0,4456.0,4606.07,21220463155
492,2021-11-04,4606.07,4610.24,4423.01,4537.15,18415244464
493,2021-11-05,4537.14,4574.0,4446.01,4479.47,15086003586
494,2021-11-06,4479.47,4534.43,4329.21,4523.16,14429076700
495,2021-11-07,4523.73,4639.8,4506.99,4617.02,13541376033
496,2021-11-08,4617.27,4825.0,4616.5,4811.9,19290896267
497,2021-11-09,4811.89,4842.54,4697.9,4731.59,20834172627
498,2021-11-10,4731.58,4867.81,4460.0,4632.22,22748160545
499,2021-11-11,4632.23,4783.05,4578.05,4721.87,17933201129
500,2021-11-12,4721.07,4809.27,4508.42,4667.34,18316060208
501,2021-11-13,4667.79,4708.6,4586.8,4644.44,14457436261
502,2021-11-14,4644.43,4695.07,4516.05,4627.03,12172962219
503,2021-11-15,4626.61,4770.0,4541.0,4565.06,16275851299
504,2021-11-16,4564.34,4564.98,4108.0,4209.5,27417502801
505,2021-11-17,4209.89,4300.01,4068.24,4289.4,22183461850
506,2021-11-18,4289.4,4346.42,3960.0,3997.93,21383250893
507,2021-11-19,3998.57,4314.82,3975.24,4299.55,20626269711
508,2021-11-20,4299.55,4438.96,4206.03,4416.69,15448261277
509,2021-11-21,4416.36,4427.72,4246.07,4262.99,14094831413
510,2021-11-22,4263.04,4322.86,4024.45,4089.16,19752218877
511,2021-11-23,4089.17,4389.95,4062.28,4341.62,22133497059
512,2021-11-24,4341.58,4359.88,4168.99,4270.74,21838037128
513,2021-11-25,4270.93,4555.11,4250.0,4525.87,18705358318
514,2021-11-26,4527.03,4555.53,3915.0,4043.67,26281795488
515,2021-11-27,4043.62,4186.97,4031.56,4098.31,16515693874
516,2021-11-28,4098.53,4303.35,3950.0,4298.38,15953126340
517,2021-11-29,4298.38,4466.0,4282.07,4449.42,19086475837
518,2021-11-30,4449.42,4759.0,4350.91,4634.95,28626354111
519,2021-12-01,4636.43,4784.5,4526.94,4586.95,27634826695
520,2021-12-02,4586.87,4637.39,4435.0,4514.59,21502671027
