phase,Unnamed: 0,date,open,high,low,close,volume
growth,139,2021-01-11,103.849,104.397,103.83,104.239,187884
growth,140,2021-01-12,104.239,104.335,103.719,103.747,198540
growth,141,2021-01-13,103.747,103.997,103.524,103.869,178669
growth,142,2021-01-14,103.869,104.198,103.565,103.802,219775
growth,143,2021-01-15,103.802,103.914,103.616,103.82,166598
growth,144,2021-01-18,103.79,103.93,103.636,103.683,170151
growth,145,2021-01-19,103.683,104.086,103.652,103.901,168569
growth,146,2021-01-20,103.901,103.929,103.447,103.533,160179
growth,147,2021-01-21,103.533,103.668,103.327,103.48,184426
growth,148,2021-01-22,103.48,103.886,103.467,103.705,164933
growth,149,2021-01-25,103.76,103.937,103.673,103.757,147190
growth,150,2021-01-26,103.757,103.828,103.556,103.609,145333
growth,151,2021-01-27,103.609,104.2,103.577,104.087,167127
growth,152,2021-01-28,104.087,104.463,104.046,104.193,173453
growth,153,2021-01-29,104.193,104.941,104.173,104.675,196148
growth,154,2021-02-01,104.77,105.034,104.608,104.922,143030
growth,155,2021-02-02,104.922,105.173,104.829,104.954,148042
growth,156,2021-02-03,104.954,105.105,104.921,105.027,122010
growth,157,2021-02-04,105.027,105.565,104.975,105.496,141050
growth,158,2021-02-05,105.496,105.768,105.309,105.317,163935
growth,159,2021-02-08,105.313,105.672,105.15,105.211,145857
growth,160,2021-02-09,105.211,105.262,104.497,104.555,179795
growth,161,2021-02-10,104.555,104.842,104.409,104.584,154423
growth,162,2021-02-11,104.584,104.805,104.549,104.739,109564
growth,163,2021-02-12,104.739,105.181,104.681,104.919,116119
growth,164,2021-02-15,104.891,105.418,104.89,105.358,111305
growth,165,2021-02-16,105.358,106.073,105.181,106.036,141811
growth,166,2021-02-17,106.036,106.225,105.78,105.867,163466
growth,167,2021-02-18,105.867,105.924,105.597,105.678,128792
growth,168,2021-02-19,105.678,105.743,105.24,105.396,134720
growth,169,2021-02-22,105.386,105.844,104.982,105.064,158024
growth,170,2021-02-23,105.064,105.428,104.921,105.243,143834
growth,171,2021-02-24,105.243,106.104,105.171,105.847,187823
