phase,Unnamed: 0,date,open,high,low,close,volume
,620,2022-12-14,159.25,161.62,155.31,156.8,140682300
,621,2022-12-15,153.44,160.93,153.28,157.67,122334500
,622,2022-12-16,159.64,160.99,150.04,150.23,139032200
,623,2022-12-19,154.0,155.25,145.82,149.87,139390600
,624,2022-12-20,146.05,148.47,137.66,137.8,159563300
,625,2022-12-21,139.34,141.26,135.89,137.57,145417400
,626,2022-12-22,136.0,136.63,122.26,125.35,210090300
,627,2022-12-23,126.37,128.62,121.02,123.15,166989700
,628,2022-12-27,117.5,119.67,108.76,109.1,208643400
,629,2022-12-28,110.35,116.27,108.24,112.71,221070500
,630,2022-12-29,120.39,123.57,117.5,121.82,221923300
,631,2022-12-30,119.95,124.48,119.75,123.18,157777300
,632,2023-01-03,118.47,118.8,104.64,108.1,231402800
,633,2023-01-04,109.11,114.59,107.52,113.64,180389000
,634,2023-01-05,110.51,111.75,107.16,110.34,157986300
,635,2023-01-06,103.0,114.39,101.81,113.06,220911100
,636,2023-01-09,118.96,123.52,117.11,119.77,190284000
,637,2023-01-10,121.07,122.76,114.92,118.85,167642500
,638,2023-01-11,122.09,125.95,120.51,123.22,183810800
,639,2023-01-12,122.56,124.13,117.0,123.56,169400900
,640,2023-01-13,116.55,122.63,115.6,122.4,180714100
,641,2023-01-17,125.7,131.7,125.02,131.49,186477000
,642,2023-01-18,136.56,136.68,127.01,128.78,195680300
,643,2023-01-19,127.26,129.99,124.31,127.17,170291900
,644,2023-01-20,128.68,133.51,127.35,133.42,138858100
,645,2023-01-23,135.87,145.38,134.27,143.75,203119200
,646,2023-01-24,143.0,146.5,141.1,143.89,158699100
,647,2023-01-25,141.91,146.41,138.07,144.43,192734300
,648,2023-01-26,159.97,161.42,154.76,160.27,234815100
,649,2023-01-27,162.43,180.68,161.17,177.9,306590600
,650,2023-01-30,178.05,179.77,166.5,166.66,230878800
,651,2023-01-31,164.57,174.3,162.78,173.22,196813500
,652,2023-02-01,173.89,183.81,169.93,181.41,213806300
,653,2023-02-02,187.33,196.75,182.61,188.27,217448300
,654,2023-02-03,183.95,199.0,183.69,189.98,232662000
,655,2023-02-06,193.01,198.17,189.92,194.76,186188100
,656,2023-02-07,196.43,197.5,189.55,196.81,186010300
,657,2023-02-08,196.1,203.0,194.31,201.29,180673600
,658,2023-02-09,207.78,214.0,204.77,207.32,215431400
,659,2023-02-10,202.23,206.2,192.89,196.89,204754100
,660,2023-02-13,194.42,196.3,187.61,194.64,172475500
,661,2023-02-14,191.94,209.82,189.44,209.25,216455700
,662,2023-02-15,211.76,214.66,206.11,214.24,181006400
,663,2023-02-16,210.78,217.65,201.84,202.04,229586500
,664,2023-02-17,199.99,208.44,197.5,208.31,213738500
,665,2023-02-21,204.99,209.71,197.22,197.37,180018600
,666,2023-02-22,197.93,201.99,191.78,200.86,191828500
,667,2023-02-23,203.91,205.14,196.33,202.07,146360000
,668,2023-02-24,196.33,197.67,192.8,196.88,142228100
,669,2023-02-27,202.03,209.42,201.26,207.63,161028300
,670,2023-02-28,210.59,211.23,203.75,205.71,153144900
,671,2023-03-01,206.21,207.2,198.52,202.77,156852800
,672,2023-03-02,186.74,193.75,186.01,190.9,181500700
,673,2023-03-03,194.8,200.48,192.88,197.79,154193300
,674,2023-03-06,198.54,198.6,192.3,193.81,128100100
,675,2023-03-07,191.38,194.2,186.1,187.71,148125800
,676,2023-03-08,185.04,186.5,180.0,182.0,151897800
,677,2023-03-09,180.25,185.18,172.51,172.92,170023800
,678,2023-03-10,175.13,178.29,168.44,173.44,191488900
,679,2023-03-13,167.46,177.35,163.91,174.48,167790300
,680,2023-03-14,177.31,183.8,177.14,183.26,143717900
,681,2023-03-15,180.8,182.34,176.03,180.45,145995600
,682,2023-03-16,180.37,185.81,178.84,184.13,121136800
,683,2023-03-17,184.52,186.22,177.33,180.13,133197100
,684,2023-03-20,178.08,186.44,176.35,183.25,129684400
,685,2023-03-21,188.28,198.0,188.04,197.58,153391400
,686,2023-03-22,199.3,200.66,190.95,191.15,150376400
,687,2023-03-23,195.26,199.31,188.65,192.22,144193900
,688,2023-03-24,191.65,192.36,187.15,190.41,116312400
,689,2023-03-27,194.42,197.39,189.94,191.81,120851600
,690,2023-03-28,192.0,192.35,185.43,189.19,98654600
,691,2023-03-29,193.13,195.29,189.44,193.88,123660000
,692,2023-03-30,195.58,197.33,194.42,195.28,110252200
,693,2023-03-31,197.53,207.79,197.2,207.46,170222100
,694,2023-04-03,199.91,202.69,192.2,194.77,169545900
,695,2023-04-04,197.32,198.74,190.32,192.58,126463800
,696,2023-04-05,190.52,190.68,183.76,185.52,133882500
,697,2023-04-06,183.08,186.39,179.74,185.06,123857900
,698,2023-04-10,179.94,185.1,176.11,184.51,142154600
,699,2023-04-11,186.69,189.19,185.65,186.79,115770900
,700,2023-04-12,190.74,191.58,180.31,180.54,150256300
,701,2023-04-13,182.96,186.5,180.94,185.9,112933000
,702,2023-04-14,183.95,186.28,182.01,185.0,96438700
,703,2023-04-17,186.32,189.69,182.69,187.04,116662200
,704,2023-04-18,187.15,187.69,183.58,184.31,92067000
,705,2023-04-19,179.1,183.5,177.65,180.59,125732700
,706,2023-04-20,166.17,169.7,160.56,162.99,210970800
,707,2023-04-21,164.8,166.0,161.32,165.08,123539000
,708,2023-04-24,164.65,165.65,158.61,162.55,140006600
,709,2023-04-25,159.82,163.47,158.75,160.67,121999300
,710,2023-04-26,160.29,160.67,153.14,153.75,153364100
,711,2023-04-27,152.64,160.48,152.37,160.19,127015200
,712,2023-04-28,160.9,165.0,157.32,164.31,122515800
,713,2023-05-01,163.17,163.28,158.83,161.83,109015000
