phase,Unnamed: 0,date,open,high,low,close,volume
,507,2022-07-06,141.35,144.12,141.08,142.92,74064300
,508,2022-07-07,143.29,146.55,143.28,146.35,66253709
,509,2022-07-08,145.26,147.55,145.0,147.04,64547800
,510,2022-07-11,145.67,146.64,143.78,144.87,63305113
,511,2022-07-12,145.76,148.45,145.05,145.86,77588800
,512,2022-07-13,142.99,146.45,142.12,145.49,71185600
,513,2022-07-14,144.08,148.95,143.25,148.47,78140744
,514,2022-07-15,149.78,150.86,148.2,150.17,76259931
,515,2022-07-18,150.74,151.57,146.7,147.07,81420900
,516,2022-07-19,147.92,151.23,146.91,151.0,82982400
,517,2022-07-20,151.12,153.72,150.37,153.04,64823413
,518,2022-07-21,154.5,155.57,151.94,155.35,65086636
,519,2022-07-22,155.39,156.28,153.41,154.09,66675408
,520,2022-07-25,154.01,155.04,152.28,152.95,53623945
,521,2022-07-26,152.26,153.09,150.8,151.6,55138700
,522,2022-07-27,152.58,157.33,152.16,156.79,78620700
,523,2022-07-28,156.98,157.64,154.41,157.35,81378731
,524,2022-07-29,161.24,163.63,159.5,162.51,101786900
,525,2022-08-01,161.01,163.59,160.89,161.51,67829400
,526,2022-08-02,160.1,162.41,159.63,160.01,59907025
,527,2022-08-03,160.84,166.59,160.75,166.13,82507500
,528,2022-08-04,166.01,167.19,164.43,165.81,55474144
,529,2022-08-05,163.21,165.85,163.0,165.35,56697000
,530,2022-08-08,166.37,167.81,164.2,164.87,60362338
,531,2022-08-09,164.02,165.82,163.25,164.92,63135503
,532,2022-08-10,167.68,169.34,166.9,169.24,70170540
,533,2022-08-11,170.06,170.99,168.19,168.49,57149200
,534,2022-08-12,169.82,172.17,169.4,172.1,68039400
,535,2022-08-15,171.52,173.39,171.35,173.19,54091700
,536,2022-08-16,172.78,173.71,171.66,173.03,56377100
,537,2022-08-17,172.77,176.15,172.57,174.55,79542037
,538,2022-08-18,173.75,174.9,173.12,174.15,62290100
,539,2022-08-19,173.03,173.74,171.31,171.52,70346300
,540,2022-08-22,169.69,169.86,167.14,167.57,69026809
,541,2022-08-23,167.08,168.71,166.65,167.23,54147100
,542,2022-08-24,167.32,168.11,166.25,167.53,53841524
,543,2022-08-25,168.78,170.14,168.35,170.03,51218209
,544,2022-08-26,170.57,171.05,163.56,163.62,78961000
,545,2022-08-29,161.15,162.9,159.82,161.38,73314000
,546,2022-08-30,162.13,162.56,157.72,158.91,77906200
,547,2022-08-31,160.31,160.58,157.14,157.22,87991100
,548,2022-09-01,156.64,158.42,154.67,157.96,74229900
,549,2022-09-02,159.75,160.36,154.97,155.81,76957800
,550,2022-09-06,156.47,157.09,153.69,154.53,73714843
,551,2022-09-07,154.82,156.67,153.61,155.96,87449600
,552,2022-09-08,154.64,156.36,152.68,154.46,84923847
,553,2022-09-09,155.47,157.82,154.75,157.37,68081006
,554,2022-09-12,159.59,164.26,159.3,163.43,104956000
,555,2022-09-13,159.9,160.54,153.37,153.84,122656614
,556,2022-09-14,154.79,157.1,153.61,155.31,87965409
,557,2022-09-15,154.65,155.24,151.38,152.37,90481110
,558,2022-09-16,151.21,151.35,148.37,150.7,162278841
,559,2022-09-19,149.31,154.56,149.1,154.48,81474246
,560,2022-09-20,153.4,158.08,153.08,156.9,107689800
,561,2022-09-21,157.34,158.74,153.6,153.72,101696800
,562,2022-09-22,152.38,154.47,150.91,152.74,86652542
,563,2022-09-23,151.19,151.47,148.56,150.43,96029909
,564,2022-09-26,149.66,153.77,149.64,150.77,93339409
,565,2022-09-27,152.74,154.72,149.95,151.76,84442741
,566,2022-09-28,147.64,150.64,144.84,149.84,146691400
,567,2022-09-29,146.1,146.72,140.68,142.48,128138237
,568,2022-09-30,141.28,143.1,138.0,138.2,124925300
